name,nameI,continent,countryI,launch,launchI,type,typeI,restraint,restraintI,designer,designerI,construction,constructionI
Wicked Twister,190,NorthAm,3,Magnetic Launch (LIM/LSM),14,Shuttle,76,Shoulder harness,5,Intamin,22,Steel,5
Valravn,191,NorthAm,3,Chain lift hill,4,Dive,11,Vest restraint,6,B&M,4,Steel,5
Dwervelwind,192,Europe,2,Chain lift hill,4,0,0,Lap bar,2,Mack,29,Steel,5
Desert Race,193,Europe,2,Hydraulic cable launch,13,Rocket,73,Lap bar,2,Intamin,22,Steel,5
Winja's Fear,194,Europe,2,Vertical lift,17,0,0,Lap bar,2,Maurer,31,Steel,5
American Thunder,195,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,GCI,17,Wooden,9
Ukko,196,Europe,2,Chain lift hill,4,X Car,97,Shoulder harness,5,Maurer,31,Steel,5
Juvelen,197,Europe,2,Tire propelled launch,16,Family Launch Coaster,24,Shoulder harness,5,Intamin,22,Steel,5
Thunderhead,198,NorthAm,3,Chain lift hill,4,Twister,91,Lap bar,2,GCI,17,Wooden,9
Gold Striker,199,NorthAm,3,Chain lift hill,4,Twister,91,Lap bar,2,GCI,17,Wooden,9
Giant Dipper,200,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,Unknown,49,Steel,5
Batman The Ride,201,NorthAm,3,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
Space Fantasy the Ride,202,Asia,1,0,0,0,0,Lap bar,2,Mack,29,Steel,5
Mind Bender,203,NorthAm,3,Chain lift hill,4,Looper,57,Shoulder harness,5,Schwarzkopf,45,Steel,5
Boardwalk Bullet,204,NorthAm,3,Chain lift hill,4,Twister,91,Lap bar,2,Gravity Group,20,Wooden,9
Mine Train Ulven,205,Europe,2,Booster wheel lift hill,1,Mine Train,65,Lap bar,2,Intamin,22,Steel,5
Batman: The Ride,206,NorthAm,3,Chain lift hill,4,Free Spin,30,Shoulder harness,5,S&S,42,Steel,5
Batman The Ride,207,NorthAm,3,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
Vertical Velocity,208,NorthAm,3,Magnetic Launch (LIM/LSM),14,Shuttle,76,Shoulder harness,5,Intamin,22,Steel,5
Dragon's Fury,209,Europe,2,Chain lift hill,4,0,0,Lap bar,2,Maurer,31,Steel,5
Space Mountain,210,NorthAm,3,Chain lift hill,4,Indoor,40,Lap bar,2,Dynamic Attractions,14,Steel,5
Speed Monster,211,Europe,2,Hydraulic cable launch,13,Rocket,73,Shoulder harness,5,Intamin,22,Steel,5
Tempesto,212,NorthAm,3,Magnetic Launch (LIM/LSM),14,Launched Looping,52,Lap bar,2,Premier Rides,37,Steel,5
Riddler's Revenge,213,NorthAm,3,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
Tarantula,214,Europe,2,Chain lift hill,4,0,0,Lap bar,2,Maurer,31,Steel,5
Thirteen,215,Europe,2,"Booster wheel lift hill, Vertical lift",2,Free Fall,29,Lap bar,2,Intamin,22,Steel,5
Batwing,216,NorthAm,3,Chain lift hill,4,0,0,Flying restraint,1,Vekoma,50,Steel,5
Vertical Velocity,217,NorthAm,3,Magnetic Launch (LIM/LSM),14,Shuttle,76,Shoulder harness,5,Intamin,22,Steel,5
Joker,218,NorthAm,3,Chain lift hill,4,Free Spin,30,Shoulder harness,5,S&S,42,Steel,5
