name,location,country,status,designer,construction,restraint,opening_year,launch,type,height,inversions,speed,length,score
Colossus,Thorpe Park,United Kingdom,Operating,Intamin,Steel,Shoulder harness,2002,Chain lift hill,Multielement,98.424,10,44.738712,2788.68,36.2
Naga Bay,Bobbejaanland,Belgium,Operating,Maurer,Steel,Lap bar,2011,Chain lift hill,NA,55.7736,0,34.175405,1410.744,36
Alpine Coaster,Parc des Combes,France,Operating,Wiegand,Steel,Seatbelt,2007,Cable lift hill,NA,NA,0,NA,1427.148,35.9
SuperSplash,Plopsaland,Belgium,Operating,Mack,Steel,Lap bar,2006,Vertical lift,NA,78.7392,0,42.253228,984.24,35.9
Cobra,La Ronde,Canada,Definitely closed,Intamin,Steel,Shoulder harness,1995,Chain lift hill,NA,85.3008,1,47.845567,2575.428,35.7
Adventure Express,Kings Island,United States,Operating,Arrow,Steel,Lap bar,1991,Chain lift hill,Mine Train,62.3352,0,34.796776,2962.5624,35.7
EqWalizer,Walibi Rhône Alpes,France,Operating,Vekoma,Steel,Lap bar,1988,Cable lift hill,"Shuttle, Boomerang",118.1088,3,47.224196,935.028,35.5
Dark Knight,Six Flags Great Adventure,United States,Operating,Mack,Steel,Lap bar,2008,Chain lift hill,Wild Mouse,NA,0,NA,1213.896,35.5
Avalanche,Kings Dominion,United States,Operating,Mack,Steel,Lap bar,1988,NA,Bobsled,60,0,35,NA,35.4
Vonkaputous,Linnanmäki,Finland,Definitely closed,Premier Rides,Steel,Lap bar,2001,Chain lift hill,NA,78.7392,0,37.28226,1082.664,35.1
Mumbo Jumbo,Flamingo Land Theme Park and Zoo,United Kingdom,Operating,S&S,Steel,Shoulder harness,2009,Chain lift hill,El Loco,98.424,2,NA,NA,34.9
Judge Roy Scream,Six flags Over Texas,United States,Operating,William J. Cobb,Steel,Lap bar,1980,Chain lift hill,NA,72.1776,0,52.816535,2673.852,34.6
Wildcat,Hersheypark,United States,Operating,GCI,Wooden,Lap bar,1996,Chain lift hill,Twister,88.5816,0,50.331051,3182.376,34.5
Aktium,CineCittà World,Italy,Operating,Mack,NA,None,NA,NA,NA,NA,0,NA,NA,34.5
La Vibora,Six flags Over Texas,United States,Operating,Intamin,Steel,Lap bar,1986,Chain lift hill,NA,59.0544,0,31.689921,1489.4832,34.4
Woodstock Express,Carowinds,United States,Operating,Philadelphia Toboggan Coaster,Wooden,Lap bar,1975,Chain lift hill,Twister,NA,0,NA,1354.9704,34.1
Spatiale Experience,Nigloland,France,Operating,Mack,Steel,Lap bar,1998,Spiral lift,Indoor,59.0544,0,37.28226,2624.64,34
Devil's Mine,Fort Fun Abenteuerland,Germany,Operating,Vekoma,Steel,Lap bar,1996,Chain lift hill,NA,65.616,0,NA,1345.128,33.5
Grizzly,Kings Dominion,United States,Operating,Unknown,Wooden,Lap bar,1982,Chain lift hill,Twister,88.5816,0,NA,3149.568,33.4
RC Racer,Walt Disney Studios,France,Operating,Intamin,Steel,Shoulder harness,2010,Magnetic Launch (LIM/LSM),Half Pipe,82.02,0,NA,269.0256,33.1
Robin Hood,Walibi Holland,Netherlands,Definitely closed,Vekoma,Wooden,Lap bar,2e3,Chain lift hill,Out & Back,104.9856,0,49.70968,3280.8,32.9
Journey To Atlantis,SeaWorld San Antonio,United States,Operating,Mack,Steel,Lap bar,2007,Chain lift hill,NA,98.424,0,49.70968,NA,32.7
Jimmy Neutron's Atomic Flyer,Movie Park Germany,Germany,Operating,Vekoma,Steel,Lap bar,2007,Chain lift hill,Family Inverted,42.6504,0,NA,964.5552,32.5
Racer 75 (Right Side),Kings Dominion,United States,Operating,Philadelphia Toboggan Coaster,Wooden,Lap bar,1975,Chain lift hill,NA,85.3008,0,55.92339,3369.3816,32.3
Steeplechase,Luna Park,United States,Operating,Zamperla,Steel,Unknown,2011,Flywheel,Motocoaster,65.616,0,39.767744,1194.2112,32.3
Roller Soaker,Hersheypark,United States,Definitely closed,SetPoint,Steel,Lap bar,2002,Cable lift hill,NA,68.8968,0,20.505243,1299.1968,32.2
Huracan,Belantis,Germany,Operating,Gerstlauer,Steel,Shoulder harness,2010,Chain lift hill,Euro-Fighter,104.9856,5,52.816535,1837.248,32.1
Speed of Sound,Walibi Holland,Netherlands,Operating,Vekoma,Steel,Shoulder harness,2e3,Chain lift hill,"Shuttle, Boomerang",114.828,3,46.602825,935.028,32
Bat Coaster,Nigloland,France,Relocated,Pinfari,Steel,Shoulder harness,2002,Chain lift hill,NA,65.616,2,43.49597,1312.32,32
Runaway Mine Train,Alton Towers,United Kingdom,Operating,Mack,Steel,Shoulder harness,1992,NA,E-Powered,19.6848,0,22.369356,1000.644,31.8
Velocity,Flamingo Land Theme Park and Zoo,United Kingdom,Operating,Vekoma,Steel,Lap bar,2005,Hydraulic cable launch,NA,55.7736,0,52.195164,2109.5544,31.6
Gletscherblitz,Steinwasen Park,Germany,Operating,Mack,E-Powered,Common lap bar,1998,NA,NA,NA,0,27.961695,NA,31.4
Pony Express,Knott's Berry Farm,United States,Operating,Zamperla,Steel,Unknown,2008,Flywheel,Motocoaster,42.6504,0,37.28226,1312.32,31.4
Super 8er Bahn,Wiener Prater,Austria,Operating,Pinfari,Steel,Lap bar,1997,Chain lift hill,NA,68.8968,0,NA,2559.024,31.2
Coastersaurus,Legoland Florida,United States,Operating,Martin & Vleminckx,Steel,Lap bar,2004,Chain lift hill,NA,39.3696,0,32.311292,1364.8128,30.9
Gaz Express,Bagatelle,France,Operating,Soquet,Steel,Lap bar,1987,Chain lift hill,"Mine Train, Family",39.3696,0,37.28226,1312.32,30.9
Hochschaubahn,Wiener Prater,Austria,Operating,Unknown,Wooden,None,1950,Chain lift hill,Family,49.212,0,34.175405,1476.36,30.8
Comet,Waldameer,United States,Operating,Philadelphia Toboggan Coaster,Wooden,Lap bar,1951,Chain lift hill,Twister,36.0888,0,24.85484,1299.1968,30.8
Georgia Cyclone,Six Flags Over Georgia,United States,Retracked,Dinn Corp.,Wooden,Lap bar,1990,Chain lift hill,Twister,95.1432,0,50.331051,2969.124,30.8
Iron Dragon,Cedar Point,United States,Operating,Arrow,Steel,Shoulder harness,1987,Chain lift hill,NA,75.4584,0,39.767744,2821.488,30.8
Schweizer Bobbahn,Europa Park,Germany,Operating,Mack,Steel,Lap bar,1985,Chain lift hill,Bobsled,62.3352,0,31.06855,1597.7496,30.6
Odin Ekspressen,Tivoli Gardens,Denmark,Operating,Mack,Steel,Lap bar,1985,Electrical lift hill,Freeform Powered,NA,0,37.28226,984.24,30.3
Psycho Mouse,California's Great America,United States,Operating,Arrow,Steel,Lap bar,2001,Chain lift hill,Wild Mouse,NA,0,NA,1256.5464,30
Linnunrata,Linnanmäki,Finland,Operating,Zierer,Steel,Lap bar,2e3,Booster wheel lift hill,NA,22.9656,0,24.85484,1181.088,29.9
Le Grand canyon,Fraispertuis City,France,Operating,Soquet,Steel,Common lap bar,NA,Chain lift hill,Family,39.3696,0,31.06855,1246.704,29.6
Train de Mine,Parc du Bocasse,France,Operating,Soquet,Steel,Lap bar,2004,Chain lift hill,NA,NA,0,NA,NA,29.4
Le Train de la Mine d'Or,Nigloland,France,Operating,Mack,Steel,Lap bar,1992,Electrical lift hill,E-Powered,26.2464,0,22.369356,NA,29.3
Apocalypse,Six Flags America,United States,Operating,B&M,Steel,Shoulder harness,2012,Chain lift hill,NA,101.7048,2,55.302019,2900.2272,29.2
Spinner,Skara Sommarland,Sweden,Operating,Maurer,NA,Lap bar,2011,NA,NA,36.0888,0,22.369356,984.24,29.1
Dawson Duel (Right),Bellewaerde,Belgium,Operating,Wiegand,NA,None,2017,Cable lift hill,NA,82.02,0,24.85484,1607.592,29.1
Roar,Six Flags America,United States,Operating,GCI,Steel,Lap bar,1998,Chain lift hill,NA,88.5816,0,50.331051,3198.78,29
Dawson Duel (Left),Bellewaerde,Belgium,Operating,Wiegand,Family,None,2017,NA,NA,82.02,0,24.85484,1607.592,29
Rasender Roland,Hansa Park,Germany,Operating,Vekoma,Steel,Lap bar,1993,Chain lift hill,NA,52.4928,0,31.06855,1712.5776,28.8
Great American Scream Machine,Six Flags Over Georgia,United States,Operating,Philadelphia Toboggan Coaster,Wooden,Lap bar,1973,Chain lift hill,NA,104.9856,0,57.166132,3451.4016,28.2
Jaguar!,Knott's Berry Farm,United States,Operating,Zierer,Steel,Lap bar,1995,Booster wheel lift hill,Family,65.616,0,34.796776,2601.6744,28.2
Azteka,Le Pal,France,Operating,Soquet,Steel,Lap bar,2003,Chain lift hill,Family,55.7736,0,34.175405,1640.4,28.1
Grizzly,California's Great America,United States,Operating,Kings Island,Steel,Lap bar,1986,Chain lift hill,NA,91.8624,0,55.302019,3251.2728,27.9
Woodstock Express,Kings Island,United States,Operating,Philadelphia Toboggan Coaster,Wooden,Lap bar,1972,Chain lift hill,Twister,NA,0,NA,1348.4088,27.8
