name,location,continent,designer,construction,restraint,opening_year,launch,type,height,inversions,speed,length,score
Expedition Ge Force,Holiday Park,Europe,Intamin,Steel,Lap bar,2001,Cable lift hill,Megacoaster,173.8824,0,74.56452,4002.576,97.9
Helix,Liseberg,Europe,Mack,Steel,Lap bar,2014,Magnetic Launch (LIM/LSM),"Looper, Terrain",134.5128,7,62.1371,4530.7848,97.8
Wonder Woman Golden Lasso,Six Flags Fiesta Texas,North America,RMC,Steel,Lap bar,2018,Chain lift hill,"Looper, Raptor",114.828,3,52.195164,1804.44,97.5
Storm Chaser,Kentucky Kingdom,North America,RMC,Steel,Lap bar,2016,Chain lift hill,,101.7048,3,52.195164,2742.7488,97.3
Outlaw Run,Silver Dollar City,North America,RMC,Hybrid,Lap bar,2013,Chain lift hill,,164.04,2,68.35081,,97.1
Twisted Cyclone,Six Flags Over Georgia,North America,RMC,Hybrid,Lap bar,2018,Chain lift hill,,101.7048,3,50.331051,2401.5456,97
Top Thrill Dragster,Cedar Point,North America,Intamin,Steel,Lap bar,2003,Hydraulic cable launch,"Rocket, Strata",419.9424,0,119.303232,2798.5224,96.9
Lech Coaster,Legendia,Europe,Vekoma,Steel,Vest restraint,2017,Chain lift hill,Looper,131.232,0,59.030245,2978.9664,96.8
Goliath,Six Flags Great America,North America,RMC,Wooden,Lap bar,2014,Chain lift hill,Twister,180.444,2,71.457665,3116.76,96.7
Iron Rattler,Six Flags Fiesta Texas,North America,RMC,Hybrid,Lap bar,2013,Chain lift hill,,180.444,1,70.214923,3267.6768,96.5
X2,Six Flags Magic Mountain,North America,Arrow,Steel,Shoulder harness,2002,Chain lift hill,,173.8824,6,75.807262,3608.88,96.1
iSpeed,Mirabilandia,Europe,Intamin,Steel,Shoulder harness,2009,Magnetic Launch (LIM/LSM),Rocket,180.444,3,74.56452,3280.8,95.9
Katun,Mirabilandia,Europe,B&M,Steel,Shoulder harness,2000,Chain lift hill,,164.04,6,64.622584,3936.96,95.8
