continent,designer,construction,restraint,opening_year,launch,type,height,inversions,speed,length,score
3,2,3,2,1978,4,1.2891212701797485,124.6704,0,59.651616,3936.96,47.3
2,18,5,2,2007,4,1.2891212701797485,52.4928,0,34.175405,1302.4776,46.5
3,13,9,2,1941,4,91,68.8968,0,0.4018142819404602,2864.1384,46.0
1,31,5,2,2010,14,1.2891212701797485,2.51601505279541,0,0.4018142819404602,3280.8,45.8
2,56,5,2,2013,1,1.2891212701797485,49.212,0,31.06855,1640.4,45.8
2,34,5,2,2e3,1,1.2891212701797485,49.212,0,43.49597,1082.664,45.7
3,2,5,5,1991,4,1.2891212701797485,91.8624,0,55.302019,2559.024,45.4
3,35,9,2,1975,4,1.2891212701797485,85.3008,0,55.92339,3369.3816,44.8
3,29,5,2,2016,17,1.2891212701797485,68.8968,0,40.389115,2099.712,44.7
3,45,5,2,1976,0.6916375160217285,57,111.5472,1,55.302019,3457.9632,44.5
3,24,5,2,1927,4,1.2891212701797485,72.1776,0,0.4018142819404602,2250.6288,44.3
2,54,9,2,1923,4,1.2891212701797485,59.0544,0,0.4018142819404602,3300.4848,44.2
2,29,5,2,2001,4,1.2891212701797485,101.7048,0,37.28226,2952.72,43.6
2,19,5,2,1985,4,1.2891212701797485,65.616,0,37.28226,1719.1392,43.6
1,48,5,5,1991,4,1.2891212701797485,124.6704,0,0.4018142819404602,2624.64,43.0
3,2,5,5,1988,4,1.2891212701797485,59.0544,0,54.680648,2706.66,42.8
3,22,0.30698874592781067,3,2017,16,1.2891212701797485,62.3352,0,44.117341,2598.3936,42.7
3,4,5,5,2011,4,1.2891212701797485,154.1976,5,63.379842,4156.7736,42.5
2,56,5,2,32.40647888183594,1,22,2.51601505279541,0,0.4018142819404602,49.98610305786133,42.3
3,7,9,2,1994,4,1.2891212701797485,78.7392,0,50.952422,2890.3848,41.6
2,31,5,2,2013,0.6916375160217285,96,36.0888,0,21.747985,984.24,41.5
2,49,9,0.5363013744354248,32.40647888183594,4,91,2.51601505279541,0,0.4018142819404602,49.98610305786133,41.5
2,29,5,2,1994,4,1.2891212701797485,88.5816,0,32.932663,3247.992,41.4
1,31,5,2,2010,14,1.2891212701797485,2.51601505279541,0,0.4018142819404602,3280.8,41.3
2,22,5,5,1999,4,1.2891212701797485,98.424,3,49.70968,2624.64,41.0
3,7,5,2,1996,4,1.2891212701797485,2.51601505279541,0,0.4018142819404602,984.24,40.9
3,4,5,5,1991,4,1.2891212701797485,91.8624,2,39.767744,1919.268,40.9
3,31,5,2,2004,4,1.2891212701797485,52.4928,0,37.28226,1391.0592,40.7
2,9,5,2,1935,4,1.2891212701797485,62.3352,0,39.767744,3300.4848,40.6
2,29,6,2,2003,0.6916375160217285,1.2891212701797485,95.1432,0,47.224196,1099.068,40.1
2,29,5,2,1984,0.6916375160217285,14,19.6848,0,27.961695,866.1312,39.6
2,50,5,5,2006,4,1.2891212701797485,124.6704,4,54.680648,2201.4168,39.5
2,56,5,2,2002,1,1.2891212701797485,52.4928,0,37.28226,2821.488,39.5
1,45,5,3,32.40647888183594,4,1.2891212701797485,2.51601505279541,0,0.4018142819404602,49.98610305786133,39.2
3,1,5,2,1924,4,1.2891212701797485,95.1432,0,55.302019,2887.104,39.2
3,49,5,2,1972,0.6916375160217285,1.2891212701797485,2.51601505279541,0,0.4018142819404602,49.98610305786133,39.1
2,29,5,2,32.40647888183594,15,22,85.3008,0,37.28226,2877.2616,38.5
3,7,5,0.5363013744354248,1996,0.6916375160217285,1.2891212701797485,59.0544,0,0.4018142819404602,49.98610305786133,38.4
2,18,5,5,2009,0.6916375160217285,21,72.1776,2,0.4018142819404602,1049.856,38.4
3,29,5,2,2008,4,95,2.51601505279541,0,0.4018142819404602,1213.896,38.4
2,45,5,2,32.40647888183594,4,22,49.212,0,31.06855,1837.248,38.1
3,31,5,2,2015,4,1.2891212701797485,2.51601505279541,0,40.389115,1400.9016,37.9
3,33,5,2,1996,4,1.2891212701797485,55.7736,0,34.796776,1299.1968,37.9
2,22,5,5,1994,4,1.2891212701797485,118.1088,4,49.70968,1640.4,37.6
3,24,5,2,1990,4,1.2891212701797485,98.424,0,52.816535,3999.2952,37.6
3,35,5,2,1974,4,1.2891212701797485,36.0888,0,34.796776,1384.4976,37.1
3,3,5,2,32.40647888183594,4,29,59.0544,0,0.4018142819404602,1000.644,37.0
3,50,5,5,32.40647888183594,4,78,160.7592,3,50.331051,1013.7672,36.8
3,49,5,2,1978,0.6916375160217285,1.2891212701797485,2.51601505279541,0,0.4018142819404602,49.98610305786133,36.6
2,50,5,2,32.40647888183594,4,89,2.51601505279541,0,0.4018142819404602,1870.056,36.6
2,31,5,2,2011,4,1.2891212701797485,55.7736,0,34.175405,1410.744,36.0
2,52,5,4,2007,3,1.2891212701797485,2.51601505279541,0,0.4018142819404602,1427.148,35.9
2,29,5,2,2006,17,1.2891212701797485,78.7392,0,42.253228,984.24,35.9
3,29,5,2,2008,4,95,2.51601505279541,0,0.4018142819404602,1213.896,35.5
3,29,5,2,1988,0.6916375160217285,5,60,0,35,49.98610305786133,35.4
2,42,5,5,2009,4,18,98.424,2,0.4018142819404602,49.98610305786133,34.9
3,53,5,2,1980,4,1.2891212701797485,72.1776,0,52.816535,2673.852,34.6
2,29,0.30698874592781067,3,32.40647888183594,0.6916375160217285,1.2891212701797485,2.51601505279541,0,0.4018142819404602,49.98610305786133,34.5
3,22,5,2,1986,4,1.2891212701797485,59.0544,0,31.689921,1489.4832,34.4
3,35,9,2,1975,4,91,2.51601505279541,0,0.4018142819404602,1354.9704,34.1
2,50,5,2,1996,4,1.2891212701797485,65.616,0,0.4018142819404602,1345.128,33.5
3,49,9,2,1982,4,91,88.5816,0,0.4018142819404602,3149.568,33.4
2,22,5,5,2010,14,36,82.02,0,0.4018142819404602,269.0256,33.1
3,29,5,2,2007,4,1.2891212701797485,98.424,0,49.70968,49.98610305786133,32.7
