name,location,continent,designer,construction,restraint,opening_year,launch,type,height,inversions,speed,length,score
601,Canada's Wonderland,3,29,5,2,1981,10,14,32.808,0,39.767744,1082.664,18.2
607,Dorney Park,3,31,5,2,2e3,4,95,49.212,0,27.961695,1213.896,17.4
610,Hersheypark,3,29,5,2,1999,4,95,45.9312,0,27.961695,1213.896,17.3
615,Busch Gardens Tampa,3,29,5,2,2004,4,95,45.9312,0,27.961695,1213.896,17
620,Linnanmäki,2,29,5,2,1990,11,14,22.9656,0,22.990727,961.2744,16.3
621,Thorpe Park,2,50,5,2,1996,1,26,42.6504,0,27.961695,1312.32,15.9
625,Beech Bend,3,55,5,2,2005,4,95,42.6504,0,29.204437,1377.936,15.6
626,Canada's Wonderland,3,2,5,5,1981,4,57,78.7392,4,50.331051,2158.7664,15.5
627,Drayton Manor,2,31,5,2,2005,4,57,82.02,3,43.49597,1263.108,15.5
628,Great Escape,3,2,5,2,2003,4,65,55.7736,0,44.738712,2001.288,15.3
629,Heide Park,2,50,5,5,1983,4,12,98.424,4,39.146373,2316.2448,14.9
631,Six Flags Great America,3,2,5,5,1976,4,57,101.7048,4,50.331051,2129.2392,14.6
632,Cedar Point,3,2,3,2,1969,4,65,49.212,0,31.06855,2539.3392,14.6
634,Kings Dominion,3,2,5,5,1991,4,57,144.3552,4,50.331051,2700.0984,14.2
639,Six Flags New England,3,31,5,2,2011,4,95,49.212,0,27.961695,1213.896,13.7
642,Bellewaerde,2,50,5,5,1984,3,78,118.1088,3,47.224196,935.028,13
644,Kings Island,3,2,5,5,1987,4,57,147.636,6,55.302019,3799.1664,12.8
645,Adventuredome,3,2,5,5,1993,4,57,95.1432,4,41.010486,2424.5112,12.8
648,Tivoli Friheden,2,55,5,2,2006,4,95,42.6504,0,29.204437,1377.936,12.6
651,Disney's Animal Kingdom,3,40,5,2,2002,4,13,42.6504,0,29.204437,1377.936,12.2
653,Mirabilandia,2,28,5,2,1998,4,95,49.212,0,21.747985,1181.088,11.9
654,Avonturenpark Hellendoorn,2,50,5,5,1990,4,57,82.02,2,43.49597,1509.168,11.9
655,Drievliet Family Park,2,31,5,2,1996,4,95,49.212,0,27.961695,1213.896,11.8
661,La Ronde,3,50,5,2,1981,4,57,75.4584,2,39.767744,2401.5456,11.1
662,Luna Park,3,55,5,1,2011,15,27,49.212,2,25.476211,1282.7928,10.9
663,Nagashima Spa Land,1,29,5,2,1996,4,95,45.9312,0,28,1213.896,10.7
667,Six Flags St Louis,3,2,5,2,1971,4,65,42.6504,0,37.28226,2499.9696,10.3
668,Wiener Prater,2,31,5,2,1997,4,95,49.212,0,27.961695,1213.896,10.3
669,La Ronde,3,55,5,2,2003,4,95,42.6504,0,11.184678,885.816,10.1
675,Knott's Berry Farm,3,29,5,2,2013,4,95,52.4928,0,35,1345.128,9.1
678,Movie Park Germany,2,39,9,2,1999,4,91,91.8624,0,49.70968,3605.5992,8.2
680,Walibi Belgium,2,50,5,5,2001,3,9,118.1088,3,47.224196,935.028,7.9
683,Hersheypark,3,50,5,2,1991,3,76,118.1088,3,47.224196,935.028,7.6
684,Six Flags Over Georgia,3,2,5,2,1967,4,65,36.0888,0,29.204437,2322.8064,7
685,Walygator Parc,2,53,9,2,1989,4,71,114.828,0,52.816535,3936.96,6.9
686,Great Escape,3,50,5,5,1997,3,76,118.1088,3,47.224196,935.028,6.8
688,Canada's Wonderland,3,50,5,5,1987,3,78,118.1088,3,47.224196,935.028,6.7
689,Walibi Belgium,2,50,5,5,1999,4,88,108.2664,5,49.70968,2260.4712,6.5
690,Cedar Point,3,2,5,5,1976,4,57,75.4584,3,43.49597,2017.692,6.5
692,Carowinds,3,2,5,5,1980,4,57,65.616,4,41.010486,2099.712,6.3
696,Lake Compounce,3,50,5,5,1997,3,76,114.828,3,46.602825,935.028,5.8
697,Gardaland,2,50,5,5,1998,4,88,108.2664,5,49.70968,2509.812,5.7
700,Six Flags Over Georgia,3,50,5,5,1992,4,57,121.3896,5,52.195164,2742.7488,5.1
