Name,Theirs,Ours
321,3.8,11.096607208251953
322,3.2,3.656426429748535
323,3.1,10.440536499023438
324,3.0,8.109086036682129
325,3.0,15.197149276733398
326,2.7,10.521891593933105
327,2.7,11.113433837890625
328,2.7,7.83966064453125
329,2.6,6.725759029388428
330,1.4,15.289085388183594
331,0.6,4.224340915679932
332,0.5,12.165029525756836
333,0.3,8.537530899047852
334,100.0,87.56999969482422
335,98.8,96.5714340209961
336,98.8,90.30058288574219
337,98.8,85.83924865722656
338,98.1,95.6388931274414
339,98.0,98.42334747314453
340,97.3,92.53887939453125
341,97.1,87.9473648071289
342,97.0,86.16901397705078
343,96.5,90.04745483398438
344,96.1,81.69688415527344
345,95.8,85.28137969970703
346,95.8,87.84009552001953
347,95.4,70.28192138671875
348,94.3,94.61605072021484
349,94.0,71.09451293945312
350,93.9,78.27847290039062
351,93.6,85.66940307617188
352,93.2,88.47149658203125
353,92.8,73.09616088867188
354,92.7,79.18084716796875
355,92.3,85.44251251220703
356,92.2,74.632080078125
357,92.1,83.22345733642578
358,92.0,84.84290313720703
359,91.1,88.8847427368164
360,90.9,80.33201599121094
361,90.8,82.29869079589844
362,90.5,84.576904296875
363,90.3,80.21028900146484
364,90.1,86.06687927246094
365,89.9,81.72469329833984
366,89.9,83.63374328613281
367,89.5,87.76358032226562
368,89.0,44.98653793334961
369,88.6,80.40933990478516
370,87.4,90.33551025390625
371,87.3,70.24830627441406
372,86.8,49.98752975463867
373,86.8,78.32391357421875
374,86.2,74.64193725585938
375,86.1,90.82746887207031
376,85.7,98.25853729248047
377,85.5,69.3988265991211
378,85.5,85.24491119384766
379,85.2,79.36639404296875
380,84.9,70.79789733886719
381,84.3,78.45628356933594
382,84.2,81.13800048828125
383,84.2,71.99351501464844
384,84.1,91.28382873535156
385,84.1,91.31851196289062
386,83.5,79.55059051513672
387,83.2,77.22808837890625
388,83.2,80.6910629272461
389,83.0,52.950767517089844
390,82.8,76.7259292602539
391,82.7,79.9785385131836
392,82.5,77.78543853759766
393,82.4,70.8819351196289
394,81.5,76.3986587524414
395,81.4,67.97649383544922
396,81.1,82.63340759277344
397,79.0,71.17675018310547
398,78.9,83.83280181884766
399,78.9,68.68843078613281
400,78.4,74.26844787597656
401,78.4,70.31209564208984
402,78.3,63.84043884277344
403,78.1,76.20535278320312
404,77.3,75.9478530883789
405,77.2,75.306640625
406,77.0,70.41378784179688
407,76.7,72.63465881347656
408,76.5,80.27043914794922
409,76.3,73.55963897705078
410,76.1,79.06880187988281
411,75.0,80.81514739990234
412,74.9,72.15147399902344
413,74.6,52.906917572021484
414,74.2,58.89031982421875
415,74.1,55.68251037597656
416,74.1,59.65947341918945
417,73.7,67.30545043945312
