name score height speed length inversions status park country manufacturer type launch restraint "opening date" type1 train cost "closing date" vr
"Red Force" 88.3 367.4496 114.953635 2887.104 0 Operating "Ferrari Land" Spain Intamin Steel "Magnetic Launch (LIM/LSM)" "Lap bar" 4/7/17 "Rocket, Strata" NA NA NA NA
"Apollo's Chariot" 88 170.6016 73.321778 4881.8304 0 Operating "Busch Gardens Williamsburg" "United States" B&M Steel "Chain lift hill" "Lap bar" 1999 Hyper NA NA NA NA
"Full Throttle" 88 157.4784 69.593552 2198.136 2 Operating "Six Flags Magic Mountain" "United States" "Premier Rides" Steel "Magnetic Launch (LIM/LSM)" "Lap bar" 6/22/13 NA NA NA NA NA
"Storm Runner" 88 183.7248 74.56452 2644.3248 3 Operating Hersheypark "United States" Intamin Steel "Hydraulic cable launch" "Shoulder harness" 5/8/04 Rocket NA NA NA NA
"Mystic Timbers" 87.8 108.2664 52.816535 3264.396 0 Operating "Kings Island" "United States" GCI Wooden "Chain lift hill" "Lap bar" 4/15/17 Twister NA NA NA NA
Junker 87.4 131.232 64.622584 2821.488 3 Operating PowerPark Finland Gerstlauer Infinity "Magnetic Launch (LIM/LSM)" "Lap bar" 5/30/15 NA NA NA NA NA
"Revenge of the Mummy" 87.4 45.9312 40.389115 2198.136 0 Operating "Universal Studios Florida" "United States" "Premier Rides" Steel "Magnetic Launch (LIM/LSM)" "Lap bar" 5/21/04 NA "Sit Down" NA NA NA
Talon 87.3 134.5128 57.787503 3116.76 4 Operating "Dorney Park" "United States" B&M Steel "Chain lift hill" "Shoulder harness" 2001 NA Inverted NA NA NA
"Mr Freeze Reverse Blast" 87.1 216.5328 70.214923 1299.1968 1 Operating "Six flags Over Texas" "United States" "Premier Rides" Steel "Magnetic Launch (LIM/LSM)" "Lap bar" 1998 Shuttle NA NA NA NA
Colossos 86.9 167.3208 68.35081 4921.2 0 "Temporarily closed" "Heide Park" Germany Intamin Wooden "Chain lift hill" "Lap bar" 2001 "Out & Back" NA NA NA NA
"Cheetah Hunt" 86.8 101.7048 60.272987 4429.08 1 Operating "Busch Gardens Tampa" "United States" Intamin Steel "Magnetic Launch (LIM/LSM)" "Shoulder harness" 5/27/11 Rocket NA NA NA NA
"Harry Potter and the Escape from Gringotts" 86.8 NA NA NA 0 Operating "Universal Studios Florida" "United States" Intamin Steel "Magnetic Launch (LIM/LSM)" "Lap bar" 7/8/14 "Dark Ride" NA NA NA NA
"Mr. Freeze Reverse Blast" 86.8 216.5328 70.214923 1299.1968 1 Operating "Six Flags St Louis" "United States" "Premier Rides" Steel "Magnetic Launch (LIM/LSM)" "Lap bar" 1998 NA NA NA NA NA
Diamondback 86.3 229.656 80.156859 5282.088 0 Operating "Kings Island" "United States" B&M Steel "Chain lift hill" "Lap bar" 2009 Hyper NA NA NA NA
Galactica 86.2 65.616 46.602825 2755.872 3 Operating "Alton Towers" "United Kingdom" B&M Steel "Chain lift hill" "Flying restraint" 2002 NA Flying NA NA NA
"Fluch Von Novgorod" 86.1 131.232 62.1371 NA 1 Operating "Hansa Park" Germany Gerstlauer Steel "Chain lift hill, Magnetic Launch (LIM/LSM)" "Shoulder harness" 4/9/09 Euro-Fighter NA NA NA NA
Goliath 85.8 173.8824 68.35081 4038.6648 0 Operating "La Ronde" Canada B&M Steel "Chain lift hill" "Lap bar" 2006 Hyper NA NA NA NA
"Blue Fire" 85.7 124.6704 62.1371 3464.5248 4 Operating "Europa Park" Germany Mack Steel "Magnetic Launch (LIM/LSM)" "Lap bar" 2009 Looper NA NA NA NA
Beast 85.7 111.5472 64.622584 7358.8344 0 Operating "Kings Island" "United States" "Charlie Dinn" Wooden "Chain lift hill" "Lap bar" 1979 NA NA NA NA NA
Patriot 85.5 150.9168 59.651616 3080.6712 4 Operating "Worlds of Fun" "United States" B&M Steel "Chain lift hill" "Shoulder harness" 2006 NA Inverted NA NA NA
"Incredible Hulk" 85.5 108.2664 66.486697 3697.4616 7 Operating "Universal Studios Islands of Adventure" "United States" B&M Steel "Tire propelled launch" "Shoulder harness" NA Looper "Sit Down" NA NA NA
Kumba 85.4 141.0744 59.651616 3969.768 7 Operating "Busch Gardens Tampa" "United States" B&M Steel "Chain lift hill" "Shoulder harness" 1993 Looper NA NA NA NA
"Baron 1898" 85.3 124.6704 55.92339 1640.4 2 Operating Efteling Netherlands B&M Steel "Chain lift hill" "Shoulder harness" 6/30/15 Dive NA NA NA NA
Medusa 85.2 150.9168 65.243955 3936.96 7 Operating "Six Flags Discovery Kingdom" "United States" B&M Steel "Chain lift hill" "Shoulder harness" 2000 NA Floorless NA NA NA
Incredicoaster 85.2 108.2664 54.680648 6069.48 1 Operating "Disney California Adventure" "United States" Intamin Steel "Magnetic Launch (LIM/LSM)" "Shoulder harness" 2001 Looper NA NA NA NA
"Mine Blower" 84.9 82.02 48.466938 2289.9984 1 Operating "Fun Spot Kissimmee" "United States" "Gravity Group" Wooden "Chain lift hill" "Lap bar" 6/23/17 NA NA NA NA NA
"Lost Gravity" 84.9 104.9856 54.059277 2230.944 2 Operating "Walibi Holland" Netherlands Mack Steel "Chain lift hill" "Lap bar" 3/24/16 BigDipper NA NA NA NA
"Stunt Fall" 84.7 190.2864 65.865326 1204.0536 3 Operating "Parque Warner Madrid" Spain Vekoma Steel "Cable lift hill" "Shoulder harness" 2002 "Giant Inverted Boomerang" NA NA NA NA
"Oblivion - The Black Hole" 84.6 141.0744 62.1371 1856.9328 2 Operating Gardaland Italy B&M Steel "Chain lift hill" "Shoulder harness" 3/28/15 Dive NA NA NA NA
PowderKeg 84.3 98.424 62.1371 3503.8944 0 Operating "Silver Dollar City" "United States" S&S Steel "Chain lift hill, Compressed air launch" "Lap bar" NA "Air Powered" "Sit Down" NA NA NA
Raptor 84.2 108.2664 55.92339 2526.216 3 Operating Gardaland Italy B&M Steel "Chain lift hill" "Shoulder harness" 2011 NA Wing NA NA NA
Wildfire 84.2 121.3896 65.865326 3074.1096 5 Operating "Silver Dollar City" "United States" B&M Steel "Chain lift hill" "Shoulder harness" NA Looper "Sit Down" NA NA NA
Verbolten 84.1 NA 52.816535 2834.6112 0 Operating "Busch Gardens Williamsburg" "United States" Zierer Steel "Magnetic Launch (LIM/LSM)" "Lap bar" 2012 "Free Fall" NA NA NA NA
"Hair Raiser" 84.1 114.828 55.92339 2788.68 4 Operating "Ocean Park" China B&M Steel "Chain lift hill" "Shoulder harness" NA Looper Floorless NA NA NA
"Expedition Everest" 84 111.5472 49.70968 4399.5528 0 Operating "Disney's Animal Kingdom" "United States" Vekoma Steel "Chain lift hill" "Lap bar" 4/7/06 "Mine Train" NA NA NA NA
"Star Trek: Operation Enterprise" 83.9 147.636 55.92339 2362.176 3 Operating "Movie Park Germany" Germany Mack Steel "Magnetic Launch (LIM/LSM)" "Lap bar" 6/14/17 Looper NA NA NA NA
"Revenge of the Mummy" 83.9 NA 44.738712 2198.136 0 Operating "Universal Studios Singapore" Singapore "Premier Rides" Steel "Magnetic Launch (LIM/LSM)" "Shoulder harness" 2010 NA "Sit Down" NA NA NA
Monster 83.8 134.5128 65.243955 2499.9696 5 Operating Adventureland "United States" Gerstlauer Steel "Chain lift hill" "Lap bar" 6/4/16 Infinity NA NA NA NA
"El Toro" 83.8 91.8624 46.602825 2460.6 0 Operating "Freizeitpark Plohn" Germany GCI Wooden "Chain lift hill" "Lap bar" 4/10/09 Twister NA NA NA NA
"Olympia looping" 83.5 124.6704 49.70968 4101 5 Operating Foire N/A Schwarzkopf Steel "Booster wheel lift hill" "Shoulder harness" 1989 Looper NA NA NA NA
Kraken 83.5 150.9168 65.243955 4176.4584 7 Operating "SeaWorld Orlando" "United States" B&M Steel "Chain lift hill" "Shoulder harness" 6/1/00 NA Floorless NA NA NA
Karacho 83.5 104.9856 62.1371 2296.56 0 Operating Tripsdrill Germany Gerstlauer Steel "Magnetic Launch (LIM/LSM)" "Lap bar" 2013 Infinity NA NA NA NA
Oblivion 83.2 65.616 68.35081 1220.4576 0 Operating "Alton Towers" "United Kingdom" B&M Steel "Chain lift hill" "Shoulder harness" 1998 Dive NA NA NA NA
"Volcano, the Blast Coaster" 83.2 154.1976 69.593552 2755.872 4 "Temporarily closed" "Kings Dominion" "United States" Intamin Steel "Magnetic Launch (LIM/LSM)" "Shoulder harness" 1998 NA Inverted NA NA NA
Intimidator 83.2 232.9368 74.56452 5314.896 0 Operating Carowinds "United States" B&M Steel NA "Lap bar" 3/27/10 Hyper NA NA NA NA
"Big Grizzly Mountain Runaway Mine Cars" 83 NA 34.796776 3608.88 0 Operating "Hong Kong Disneyland" China Vekoma Steel "Chain lift hill, Magnetic Launch (LIM/LSM)" "Lap bar" 7/13/12 "Mine Train" NA NA NA NA
"The Swarm" 82.8 127.9512 NA 2542.62 4 Operating "Thorpe Park" "United Kingdom" B&M Steel "Chain lift hill" "Shoulder harness" 2012 NA Wing NA NA NA
Formuła 82.7 82.02 49.088309 1837.248 3 Operating Energylandia Poland Vekoma Steel "Magnetic Launch (LIM/LSM)" "Shoulder harness" NA Looper "Sit Down" NA NA NA
"Formula Rossa" 82.7 170.6016 149.12904 6561.6 0 Operating "Ferrari World" "United Arab Emirates" Intamin Steel "Hydraulic cable launch" "Lap bar" 2010 NA "Sit Down" NA NA NA
Raptor 82.5 137.7936 57.166132 3789.324 6 Operating "Cedar Point" "United States" B&M Steel "Chain lift hill" "Shoulder harness" 1994 NA Inverted NA NA NA
Silverstar 82.4 239.4984 78.914117 5314.896 0 Operating "Europa Park" Germany B&M Steel "Chain lift hill" "Lap bar" NA "Hyper, Out & Back" "Sit Down" NA NA NA
"Boulder Dash" 82.4 114.828 60.272987 4724.352 0 Operating "Lake Compounce" "United States" CCI Wooden "Chain lift hill" "Lap bar" 2000 "Out & Back" NA NA NA NA
Leviathan 82 305.1144 91.962908 5485.4976 0 Operating "Canada's Wonderland" Canada B&M Steel "Chain lift hill" "Lap bar" 5/6/12 "Giga, Hyper" NA NA NA NA
"Dragon Khan" 81.9 147.636 65.243955 4166.616 8 Operating "Port Aventura" Spain B&M Steel "Chain lift hill" "Shoulder harness" 1995 Looper NA NA NA NA
"Gold Rush" 81.9 108.2664 55.92339 1312.32 2 Operating "Attractiepark Slagharen" Netherlands Gerstlauer Steel "Magnetic Launch (LIM/LSM)" "Lap bar" 4/13/17 Infinity NA NA NA NA
"Yukon Quad" 81.6 39.3696 52.816535 3280.8 0 Operating "Le Pal" France Intamin Steel "Tire propelled launch" "Lap bar" 4/7/18 "Family Launch Coaster" NA NA NA NA
"Hollywood Dream : The Ride" 81.5 144.3552 55.92339 3936.96 0 Operating "Universal Studios Japan" Japan B&M Steel "Chain lift hill" "Lap bar" 2007 Megacoaster NA NA NA NA
"Flug der Dämonen" 81.5 164.04 62.1371 2532.7776 5 Operating "Heide Park" Germany B&M Steel "Chain lift hill" "Flying restraint" 2014 NA Wing NA NA NA
"Joris en de Draak (Vuur)" 81.4 72.1776 46.602825 2585.2704 0 Operating Efteling Netherlands GCI Wooden "Chain lift hill" "Lap bar" 2010 Twister NA NA NA NA
"Dragon Challenge : Chinese Fireball" 81.4 124.6704 60.272987 3198.78 5 "Definitely closed" "Universal Studios Islands of Adventure" "United States" B&M Steel "Chain lift hill" "Shoulder harness" 5/28/99 NA Inverted NA NA NA
"Flight Deck" 81.4 101.7048 50.331051 2260.4712 3 Operating "California's Great America " "United States" B&M Steel "Chain lift hill" "Lap bar" 3/19/93 NA Inverted NA NA NA
"The Smiler" 81.3 98.424 52.816535 3838.536 14 Operating "Alton Towers" "United Kingdom" Gerstlauer Steel "Chain lift hill" "Lap bar" 5/31/13 Infinity NA NA NA NA
"Wild Eagle" 81.1 209.9712 60.894358 3126.6024 4 Operating Dollywood "United States" B&M Steel "Chain lift hill" "Shoulder harness" 2012 NA Wing NA NA NA
"Joris en de Draak (Water)" 80.3 72.1776 46.602825 2585.2704 0 Operating Efteling Netherlands GCI Wooden "Chain lift hill" "Lap bar" 2010 Twister NA NA NA NA
Shock 80.3 114.828 62.1371 2460.6 1 Operating "Rainbow MagicLand" Italy Maurer Steel "Magnetic Launch (LIM/LSM)" "Lap bar" 2011 Looper NA NA NA NA
"Superman - Ride Of Steel" 80.2 196.848 72.700407 5347.704 0 Operating "Six Flags America" "United States" Intamin Steel "Chain lift hill" "Lap bar" 2000 Megacoaster NA NA NA NA
Timber 79.2 55.7736 40.389115 1463.2368 0 Operating "Walibi Rhône Alpes" France "Gravity Group" Wooden "Chain lift hill" "Lap bar" 4/9/16 Twister NA NA NA NA
Lisebergbanan 79 147.636 49.70968 5078.6784 0 Operating Liseberg Sweden Schwarzkopf Steel "Chain lift hill" "Lap bar" 1987 Terrain NA NA NA NA
"Silver Bullet" 79 147.636 55.302019 3126.6024 6 Operating "Knott's Berry Farm" "United States" B&M Steel "Chain lift hill" "Shoulder harness" 2004 NA Inverted NA NA NA
Anubis 78.9 111.5472 55.92339 1968.48 3 Operating Plopsaland Belgium Gerstlauer Steel "Magnetic Launch (LIM/LSM)" "Shoulder harness" NA Looper "Sit Down" NA NA NA
"Great Bear" 78.9 88.5816 57.787503 2798.5224 4 Operating Hersheypark "United States" B&M Steel "Chain lift hill" "Shoulder harness" 1998 NA Inverted NA NA NA
Rutschebanen 78.4 42.6504 31.06855 2362.176 0 Operating "Tivoli Gardens" Denmark "L.A. Thompson Scenic Railway" Wooden "Cable lift hill" "Lap bar" NA "Out & Back" "Sit Down" NA NA NA
Hangtime 78.4 150.9168 57.166132 2198.136 4 Operating "Knott's Berry Farm" "United States" Gerstlauer Steel "Chain lift hill" "Lap bar" NA "Looper, Infinity" "Sit Down" NA NA NA
"Thunder dolphin" 78.3 262.464 80.77823 3510.456 0 Operating "Tokyo dome city" Japan Intamin Steel "Cable lift hill" "Lap bar" 2003 Hyper NA NA NA NA
Inferno 78.3 65.616 NA 1499.3256 0 Operating "CineCittà World" Italy Intamin Steel NA None NA "Family, Free Fall" "Sit Down" NA NA NA
Dominator 78.1 157.4784 65.243955 4209.2664 5 Operating "Kings Dominion" "United States" B&M Steel "Chain lift hill" "Shoulder harness" 2008 NA Floorless NA NA NA
Fahrenheit 78.1 121.3896 57.787503 2700.0984 6 Operating Hersheypark "United States" Intamin Steel "Chain lift hill" "Lap bar" 2008 Looper NA NA NA NA
"The Voyage" 77.8 160.7592 67.108068 6440.2104 0 Operating "Holiday World" "United States" "Gravity Group" Wooden "Chain lift hill" "Lap bar" 2006 Twister NA NA NA NA
