name,park,designer,construction,type,year_opened,g_force,height,inversions,length,speed,angle,train_mfg,drop,launch,max_passenger,duration_sec
Wacky Worm,Motor World Virginia Beach,Fajume,Steel,"Junior, Oval",2e3,NA,13,NA,444,7,NA,Fajume,NA,NA,24,NA
Wacky Worm,Myrtle Beach Grand Prix,Preston,Steel,"Junior, Oval",1999,NA,13,NA,444,NA,NA,Preston,NA,NA,24,NA
Wacky Worm,Lake Winnepesaukah,Preston,Steel,"Junior, Oval",1993,NA,13,NA,444,NA,NA,Preston,NA,NA,24,1800
Wacky Worm,Adventure Crossing,Preston,Steel,"Junior, Oval",NA,NA,13,NA,444,NA,NA,NA,NA,NA,24,NA
Wacky Worm,Trimper's Rides,Fajume,Steel,Family Figure 8,2006,NA,16,NA,NA,NA,NA,NA,NA,NA,24,NA
Wacky Worm,DelGrosso's Amusement Park,Fajume,Steel,Junior. Figure 8,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA
Wacky Worm,Jolly Roger Amusement Park,Fajume,Steel,"Junior, Figure-8",NA,NA,13,NA,180,10,NA,NA,12,NA,24,NA
Wacky Worm,Old Town,Fajume,Steel,Family Figure 8,2008,NA,16,NA,NA,NA,NA,NA,NA,NA,24,NA
Wacky Worm,Baja Amusements,Fajume,Steel,"Junior, Figure-8",1998,NA,13,NA,444,NA,NA,Preston,NA,NA,20,NA
Wacky Worm,Gillian's Wonderland Pier,Fajume,Steel,Junior Figure 8,2005,NA,14,NA,NA,NA,NA,NA,NA,NA,24,NA
Wacky Worm,Santa's Village Azoosment Park,Fajume,Steel,Family Figure 8,2015,NA,16,NA,NA,NA,NA,NA,NA,NA,24,NA
Wacky Worm,Adventure Landing,Pinfari,Steel,Family,2005,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wan Wan Coaster Wandit,Yomiuriland,"Hoei Sangyo Co., Ltd.",Steel,Junior,2005,NA,18,NA,486,19,NA,NA,NA,NA,20,60
Wave Breaker The Rescue Coaster,SeaWorld San Antonio,Intamin,Steel,Launched,2017,NA,61,NA,2600,44,61,NA,NA,Tire Propelled,16,60
West Coaster,Pacific Park,Morgan Manufacturing,Steel,Freeform,1996,NA,55,NA,NA,35,NA,Morgan Manufacturing,20,NA,NA,60
Western Expressen,TusenFryd,Vekoma,Steel,Junior,2012,NA,43,NA,NA,29,NA,NA,NA,NA,20,60
Whirlwind,Seabreeze Amusement Park,Maurer Söhne,Steel,"Twister, Spinning Cars",2004,NA,50,NA,NA,37,50,NA,NA,NA,NA,60
Whirlwind,Knoebels Amusement Park,Vekoma International,Steel,Corkscrew,1984,NA,64,2,NA,37,NA,Arrow-Huss,48,NA,NA,60
Whirlwind,Camelot Theme Park,Maurer Söhne,Steel,Spinning Twister,2003,NA,51,NA,NA,37,50,NA,NA,NA,NA,60
Whistle Punk Chaser,Dollywood,Zamperla,Steel,Junior Oval,2017,NA,14,NA,262.5,16,NA,NA,NA,NA,12,NA
White Canyon,Yomiuriland,"John Pierce, RCCA, Togo",Wood,Twister,1994,3.55,116,NA,NA,52,53,Morgan Manufacturing,95,NA,NA,120
White Cyclone,Nagashima Spa Land,Intamin AG,Wood,Out and Back,1995,NA,139,NA,NA,63,NA,Philadelphia Toboggan Co.,129,NA,28,120
White Lightning,Fun Spot America Orlando,Great Coasters International,Wood,Out & Back,2013,NA,75,NA,NA,48,NA,Great Coasters International,NA,NA,NA,60
Whizzer,Six Flags Great America,Anton Schwarzkopf,Steel,Jumbo Jet,1976,NA,70,NA,NA,42,NA,Anton Schwarzkopf,64,NA,24,120
Wicked,Lagoon,Zierer,Steel,Launched Multielement,2007,4.85,110,1,NA,55,90,NA,NA,LSM,8,60
Wicked Cyclone,Six Flags New England,"Rocky Mountain Construction, Alan Schilke",Steel,Multielement Hybrid Double Out & Back,2015,NA,109,3,NA,55,78,Rocky Mountain Construction,NA,NA,24,NA
Wicked Twister,Cedar Point,Intamin AG,Steel,"Impulse, Inverted Shuttle",2002,NA,215,NA,NA,72,90,NA,206,LIM,32,2400
Wild & Wooly Toboggan,Little Amerricka,"Chance Rides, Inc.",Steel,Toboggan,1993,NA,45,NA,450,NA,NA,Chance Rides,NA,NA,2,NA
Wild Beast,Canada's Wonderland,"Taft, Curtis D. Summers",Wood,Double Out and Back,1981,NA,87,NA,NA,56,NA,Philadelphia Toboggan Co.,78,NA,28,120
Wild Bill's Runaway Train,Adventure Wonderland,Daniel Pinfari,Steel,Junior,2004,NA,NA,NA,NA,NA,NA,NA,14,NA,18,NA
Wild Cat,Pleasureland Southport,Pinfari,Steel,Zyklon,1978,NA,40,NA,NA,NA,NA,NA,35,NA,4,60
Wild Chipmunk,Lakeside Amusement Park,"Miler Coaster, Inc.",Steel,Wild Mouse,1955,NA,35,NA,907,17,NA,NA,15,NA,2,60
Wild Eagle,Dollywood,Bolliger & Mabillard,Steel,Wing Coaster,2012,NA,210,4,NA,61,NA,NA,135,NA,28,120
Wild Kitty,Frontier City,Allan Herschell,Steel,"Junior, Oval",2013,NA,12,NA,280,12,NA,NA,NA,NA,12,NA
Wild Kitty,Frontier City,Allan Herschell,Steel,Junior Oval,1991,NA,12,NA,280,15,NA,NA,NA,NA,12,NA
Wild Lightnin',Lake Winnepesaukah,L&T Systems,Steel,Wild Mouse,2001,NA,48,NA,NA,25,NA,L&T Systems,NA,NA,4,NA
Wild Mine,Cavallino Matto,L&T Systems,Steel,Wild Mouse,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wild Mine Ride,Gulliver's World Theme Park,L&T Systems,Steel,Wild Mouse,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wild Mouse,Pleasure Beach Blackpool,Frank Wright,Wood,Wild Mouse,1958,NA,50,NA,NA,35,NA,NA,NA,NA,2,NA
Wild Mouse,Lagoon,Maurer Söhne,Steel,Wild Mouse,1998,NA,49,NA,NA,28,46,Maurer Söhne,25,NA,4,60
Wild Mouse,Jolly Roger Amusement Park,Maurer Söhne,Steel,Wild Mouse,2002,NA,49,NA,NA,28,46,Maurer Söhne,25,NA,4,60
Wild Mouse,Beech Bend Park,Zamperla,Steel,Spinning Wild Mouse,2005,2.5,43,NA,NA,29,NA,NA,NA,NA,NA,60
Wild Mouse,Playland,Princeton Machine,Steel,Wild Mouse,1958,NA,35,NA,NA,NA,NA,NA,15,NA,NA,NA
Wild Mouse,Casino Pier,"Miler Coaster, Inc.",Steel,Wild Mouse,1999,NA,35,NA,NA,NA,NA,NA,25,NA,NA,NA
Wild Mouse,Luna Park Sydney,,Wood,Wild Mouse,1962,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,60
Wild Mouse,Expoland,Mack,Steel,Wild Mouse,1996,NA,46,NA,NA,28,NA,NA,NA,NA,NA,60
Wild Mouse,Hersheypark,Mack,Steel,Wild Mouse,1999,NA,50,NA,NA,28,NA,Mack GmbH,25,NA,4,60
Wild Mouse,York's Wild Kingdom,Schiff,Steel,Wild Mouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wild Mouse,Funtown Splashtown USA,Maurer Söhne,Steel,Wild Mouse,2009,NA,49,NA,NA,28,46,NA,NA,NA,NA,60
Wild Mouse,Dorney Park & Wildwater Kingdom,Maurer Söhne,Steel,Wild Mouse,2e3,NA,49,NA,NA,28,46,Maurer Söhne,25,NA,4,NA
Wild Mouse,Nagashima Spa Land,Mack,Steel,Wild Mouse,1996,NA,46,NA,NA,28,NA,NA,NA,NA,NA,60
Wild Mouse,Flamingo Land Theme Park & Zoo,Maurer Söhne,Steel,Wild Mouse,1997,NA,49,NA,NA,28,46,Maurer Söhne,25,NA,4,NA
Wild Mouse,Idlewild & Soak Zone,Vekoma International,Steel,Wild Mouse,1988,NA,56,NA,NA,30,NA,Vekoma,25,NA,NA,NA
Wild One,Six Flags America,"John A. Miller, Herb Schmeck, Charles Dinn",Wood,Out and Back,1917,NA,98,NA,NA,53,NA,NA,88,NA,NA,120
Wild Thing,Wild Waves & Enchanted Forest,"Arrow Dynamics, Huss",Steel,Loop Corkscrew,1999,NA,75,3,NA,40,NA,Arrow Dynamics,64,NA,28,60
Wild Thing,Valleyfair,Morgan Manufacturing,Steel,Hypercoaster,1996,NA,207,NA,NA,74,NA,Morgan Manufacturing,196,NA,36,180
Wild West Express,Glenwood Caverns Adventure Park,Zierer,Steel,"Junior, Tivoli",2012,NA,11,NA,198,16,NA,NA,NA,NA,10,NA
Wild West Express,Adventure Park USA,Zamperla,Steel,"Windstorm, Twister",2015,NA,53,NA,NA,40,NA,NA,30,NA,12,NA
Wild West Mine Train,Ocean Park,Zamperla,Steel,Mine Train,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA
Wildcat,Funland,,Steel,Junior Powered,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wildcat,Lake Compounce,"Herb Schmeck, Philadelphia Toboggan Co., Charlie Dinn, Curtis D. Summers",Wood,Double Out and Back,1927,NA,84,NA,NA,48,NA,Philadelphia Toboggan Co.,80,NA,18,60
Wildcat,Jolly Roger Amusement Park,Schwarzkopf,Steel,Wildcat,1999,NA,50,NA,NA,30,NA,NA,45,NA,NA,NA
Wildcat,Keansburg Amusement Park,Anton Schwarzkopf,Steel,"Wildcat, Figure 8",1984,NA,50,NA,NA,40,NA,Schwarzkopf,45,NA,4,60
Wildcat,Frontier City,"Aurel Vaszin, Edward Leis, NAD",Wood,Out and Back,1968,NA,75,NA,NA,50,NA,Philadelphia Toboggan Co.,65,NA,18,120
Wildcat,Puyallup Fair,Schwarzkopf,Steel,Wildcat,1985,NA,50,NA,NA,40,NA,Schwarzkopf,45,NA,4,NA
Wildcat,Adventure Park USA,Schwarzkopf,Steel,Wildcat,2007,NA,44,NA,NA,NA,NA,NA,NA,NA,4,NA
Wildcat,Hersheypark,Great Coasters International,Wood,Twister,1996,3.5,90,NA,NA,48,NA,Great Coasters International,85,NA,24,60
Wildcat,Williams Grove,Anton Schwarzkopf,Steel,Wildcat,2001,NA,44,NA,NA,35,NA,Schwarzkopf,40,NA,NA,NA
Wildcat,Wild Island Family Adventure Park,"Miler Coaster, Inc.",Steel,Triple Out and Back,2002,NA,38,NA,900,35,NA,NA,NA,NA,6,NA
Wildcat,Fantasy Island,Anton Schwarzkopf,Wildcat,"Wildcat, Twister",1972,NA,45,NA,NA,40,NA,Schwarzkopf,40,NA,NA,NA
Wildcat,Jolly Roger Amusement Park,Schwarzkopf,Steel,"Wildcat, Portable Figure-8",2008,NA,44,NA,NA,30,NA,NA,NA,NA,NA,NA
Wildcat,Cedar Point,Anton Schwarzkopf,Steel,"Wildcat, Figure 8",1970,NA,50,NA,NA,40,NA,Schwarzkopf,45,NA,4,60
Wildcat,Santa's Village Azoosment Park,Pinfari,Steel,Zyklon,2014,NA,36,NA,NA,35,NA,NA,25,NA,4,60
Wilde Maus,Wiener Prater,Maurer Söhne,Steel,Wild Mouse,1997,NA,49,NA,NA,28,46,NA,NA,NA,NA,60
Wilderness Run,Cedar Point,Intamin AG,Steel,"Junior, Figure 8",1979,NA,19,NA,443,6,NA,Intamin AG,NA,NA,16,3e3
Wildfire,Silver Dollar City,Bolliger & Mabillard,Steel,Multielement,2001,NA,155,5,NA,66,NA,NA,155,NA,32,120
Wile E. Coyote's Grand Canyon Blaster,Six Flags Over Texas,"Chance Rides, Inc.",Steel,"Junior, Oval",2001,NA,16,NA,350,15,NA,NA,NA,NA,16,60
Windjammer,Knott's Berry Farm,Togo,Steel,Looping Racer,1997,NA,69,1,NA,40,NA,NA,NA,NA,8,60
Windstorm,Fun Forest,SDC,Steel,Twister,1993,NA,59,NA,NA,30,NA,NA,35,NA,12,NA
Windstorm,Old Town,Zamperla,Steel,"Windstorm, Twister",1997,NA,53,NA,NA,40,NA,SDC,30,NA,12,NA
Winjas (Fear),Phantasialand,Maurer Söhne,Steel,Dual Spinning,2002,NA,57,NA,NA,41,NA,NA,52,NA,4,NA
Winjas (Force),Phantasialand,Maurer Söhne,Steel,Dual Spinning,2002,NA,57,NA,NA,37,NA,NA,NA,NA,4,NA
Wizard's Cavern,Casino Pier,Mack Rides GmbH,Steel,Indoor Freeform,NA,NA,18,NA,800,NA,NA,Mack GmbH,15,NA,NA,NA
Wodan Timbur Coaster,Europa Park,Great Coasters International,Wood,Twister,2012,3.5,131,NA,NA,62,52,Great Coasters International,NA,NA,24,120
Wok's Waanzin,Walibi Holland,Zierer,Steel,Family Twister,1994,NA,20,NA,653,20,NA,NA,NA,NA,40,60
Wolverine Wildcat,Michigan's Adventure,"Curtis D. Summers, Dinn Corp.",Wood,Double Out and Back,1988,NA,85,NA,NA,55,NA,Philadelphia Toboggan Co.,78,NA,24,120
Wonder Woman Golden Lasso,Six Flags Fiesta Texas,Rocky Mountain Construction,Steel,Raptor-Single Rail,2018,NA,113,3,NA,52,90,NA,100,NA,8,NA
Wooden Warrior,Quassy Amusement Park,"The Gravity Group, LLC",Wood,Family Out and Back,2011,NA,35,NA,NA,35,NA,"The Gravity Group, LLC",40,NA,12,NA
Woodstock Express,Kings Island,"John Allen, Philadelphia Toboggan Co.",Wood,Junior Double Out and Back,1972,NA,38.5,NA,NA,35,45,Philadelphia Toboggan Co.,35,NA,20,60
Woodstock Express,Carowinds,"John Allen, Philadelphia Toboggan Co.",Wood,Junior Double Out and Back,1975,NA,40,NA,NA,35,NA,Philadelphia Toboggan Co.,36,NA,20,60
Woodstock Express,Cedar Point,Vekoma,Steel,Junior Twister,1999,NA,38,NA,NA,25,NA,NA,30,NA,16,60
Woodstock Express,Kings Dominion,"John Allen, Philadelphia Toboggan Co.",Wood,Junior Double Out and Back,1974,NA,38,NA,NA,35,NA,Philadelphia Toboggan Co.,35,NA,20,60
Woodstock's Express,Dorney Park & Wildwater Kingdom,Zamperla,Steel,Junior Oval,2e3,NA,15,NA,280,NA,NA,NA,12,NA,12,60
Woodstock's Express,California's Great America,Intamin AG,Steel,Junior,1987,NA,36,NA,NA,25,NA,NA,34,NA,16,120
Woody Woodpecker's Nuthouse Coaster,Universal Studios Florida,Vekoma,Steel,Junior Twister,1999,NA,28,NA,679,22,NA,NA,20,NA,16,2640
X-Coaster,Magic Springs & Crystal Falls,Maurer Söhne,Steel,X-Car Coaster,2006,5,152,2,492,65,NA,NA,NA,NA,12,3e3
X-Flight,Six Flags Great America,Bolliger & Mabillard,Steel,Wing Coaster,2012,NA,120,5,NA,55,NA,NA,NA,NA,NA,NA
X-Flight,Geauga Lake's Wildwater Kingdom,Vekoma,Steel,Flying Dutchman,2001,4.3,115,5,NA,51,NA,Vekoma,110,NA,24,120
X2,Six Flags Magic Mountain,Arrow Dynamics,Steel,"4th Dimension, Freeform",2001,4,190,2,NA,76,88.5,NA,215,NA,28,NA
X: No Way Out,Thorpe Park,Vekoma,Steel,Indoor Themed,1996,NA,42,NA,NA,28,NA,Vekoma,NA,NA,10,60
Xcelerator,Knott's Berry Farm,Intamin AG,Steel,"Launched, Double Out and Back",2002,4,205,NA,NA,82,90,NA,205,Hydraulic,20,60
XLR-8,Six Flags Astroworld,Arrow Dynamics,Steel,Suspended Freeform,1984,NA,81,NA,NA,45,NA,NA,52,NA,28,180
Xpress,Walibi Holland,Vekoma,Steel,Launched Multielement,2e3,5,85,3,NA,56,NA,NA,NA,LSM,24,60
Xtreme,Dixie Landin' & Blue Bayou Waterpark,Maurer Söhne,Steel,Spinning,2007,NA,51,NA,NA,37,50,NA,NA,NA,NA,60
Yankee Cannonball,Canobie Lake Park,"Herb Schmeck, PTC",Wood,Out and Back,1936,NA,64,NA,NA,35,NA,Philadelphia Toboggan Co.,63,NA,18,NA
Yukon Striker,Canada's Wonderland,Bolliger & Mabillard,Steel,"Dive Coaster, Multielement",2019,NA,223,4,NA,81,90,NA,245,NA,24,180
Zach's Zoomer,Michigan's Adventure,"Custom Coasters, Inc.",Wood,"Family, Double Out and Back",1994,NA,40,NA,NA,30,NA,Philadelphia Toboggan Co.,40,NA,20,60
Zeus,Mt. Olympus Water & Theme Park,"Custom Coasters, Inc.",Wood,Out and Back,1997,NA,90,NA,NA,55,NA,Philadelphia Toboggan Co.,85,NA,20,60
Zingo,Bell's Amusement Park,"John Allen, Philadelphia Toboggan Co.",Wood,Out and Back,1968,NA,86,NA,NA,46,NA,Philadelphia Toboggan Co.,86,NA,24,NA
Zippin' Pippin,Libertyland,"John A. Miller, Harry Baker, National Amusement Devices",Wood,Out and Back,1923,NA,70,NA,NA,40,NA,Philadelphia Toboggan Co.,70,NA,24,60
Zippin' Pippin,Bay Beach,"John A. Miller, The Gravity Group",Wood,Out and Back,2011,NA,70,NA,NA,40,NA,Philadelphia Toboggan Co.,70,NA,30,60
Zola 7,Fuji-Q Highland,Togo,Steel,Indoor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120
Zonga,Six Flags Discovery Kingdom,Schwarzkopf,Steel,Multielement,2003,NA,112,4,NA,53,70,Schwarzkopf,90,NA,20,NA
Zoomerang,Lake Compounce,Vekoma International,Steel,"Boomerang, Multielement Shuttle",1997,5.2,125,6,875,48,NA,Vekoma,125,NA,28,3e3
Zoomerang,Alabama Splash Adventure,Vekoma,Steel,"Boomerang, Multielement Shuttle",2005,5.2,125,6,935,47,NA,Arrow Dynamics,116,NA,28,60
Zooom!,Flamingo Land Theme Park & Zoo,Zamperla,Steel,Suspended Family,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA
Zoooooom Coaster,Oaks Park,"Miler Coaster, Inc.",Steel,Junior,1999,NA,16,NA,416,NA,NA,"Miler Coaster, Inc.",14,NA,12,NA
Zyklon,Saginaw County Fairgrounds,Pinfari,Steel,Zyklon,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zyklon,Fun Spot,Pinfari,Steel,Zyklon,1990,NA,36,NA,NA,35,NA,NA,25,NA,4,60
Zyklon,DelGrosso's Amusement Park,Pinfari,Steel,Zyklon,1987,NA,53,NA,NA,35,NA,NA,45,NA,12,NA
