name,park,designer,construction,type,year_opened,g_force,height,inversions,length,speed,angle,train_mfg,drop,launch,max_passenger,duration_sec
Revenge of the Mummy,Universal Studios Hollywood,Premier Rides,Steel,Launched Indoor,2004,NA,NA,NA,NA,40,50,Premier Rides,NA,LIM,16,240
Revenge of the Mummy,Universal Studios Singapore,Premier Rides,Steel,Indoor Launched,2010,NA,45,NA,NA,45,50,NA,NA,LIM,12,60
Revolution,Libertyland,Arrow Dynamics,Steel,Loop Corkscrew,1979,NA,70,3,NA,45,NA,Arrow Dynamics,65,NA,28,60
Revolution,Bobbejaanland,Vekoma,Steel,Indoor Family,1989,NA,86,NA,NA,31,NA,NA,NA,NA,60,120
Revolution,Pleasure Beach Blackpool,Arrow Dynamics,Steel,Shuttle Loop,1979,4,56,2,635,45,52,NA,47,Catapult,24,60
Revolution,Six Flags Magic Mountain,"Schwarzkopf, Intamin",Steel,Looping Terrain,1976,4.9,113,1,NA,55,NA,NA,72,NA,20,120
Rewind Racers,Adventure City,Gerstlauer,Steel,Family Shuttle,2015,NA,39,NA,594,31,NA,NA,NA,NA,14,NA
Rexo Coaster,Dinorex Arlington Heights,Wisdom Rides,Steel,"Junior, Indoor",2003,NA,NA,NA,NA,NA,NA,Wisdom Rides,NA,NA,14,NA
Rexo Coaster,Dinorex Crystal Lake,Wisdom Rides,Steel,"Junior, Indoor",2001,NA,NA,NA,NA,NA,NA,Wisdom Rides,NA,NA,14,NA
Ricochet,Kings Dominion,Mack,Steel,Wild Mouse,2002,NA,52,NA,NA,35,NA,Mack,50,NA,4,NA
Ricochet,Carowinds,Mack GmbH,Steel,Wild Mouse,2002,NA,54,NA,NA,35,NA,Mack,50,NA,4,NA
Ride of Steel,Darien Lake,Intamin AG,Steel,Hypercoaster,1999,NA,208,NA,NA,73,68,NA,205,NA,32,180
Ridgeline Racer,American Adventures,Zamperla,Steel,Junior Powered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ripper,Thrill-Ville USA,Schwarzkopf,Steel,Jet Star,1993,NA,44,NA,NA,31,NA,Schwarzkopf,40,NA,4,NA
RipTide Coaster,Miracle Strip Pier Park,SDC,Steel,Galaxi,2014,NA,45,NA,NA,30,NA,SDC,32,NA,4,NA
Rita Queen of Speed,Alton Towers,Intamin AG,Steel,Launched,2005,4.7,69,NA,NA,62,NA,NA,NA,Hydraulic,NA,NA
River King Mine Ride,Six Flags St. Louis,Arrow Dynamics,Steel,Mine Train,1971,NA,32,NA,NA,37,NA,Arrow Dynamics,41,NA,30,120
Road Runner Express,Six Flags Fiesta Texas,Arrow Dynamics,Steel,Mine Train,1997,3,73,NA,NA,35,27,NA,NA,NA,36,120
Road Runner Express,Six Flags Discovery Kingdom,Zamperla,Steel,Junior Oval,1999,NA,15,NA,262,15,NA,Zamperla,13,NA,12,NA
Road Runner Express,Six Flags Magic Mountain,Vekoma,Steel,Family Twister,2011,NA,28,NA,679,22,NA,NA,19,NA,16,2640
Road Runner Express,Kentucky Kingdom,Maurer Söhne,Steel,Wild Mouse,2e3,NA,49,NA,NA,28,46,NA,25,NA,4,NA
Road Runner Railway,Six Flags Great Adventure,Zamperla,Steel,Junior Oval,1999,NA,13,NA,266,15,NA,Zamperla,11,NA,12,NA
Road Runner Rollercoaster,Warner Bros. Movie World,Vekoma,Steel,Junior Twister,2e3,NA,43,NA,NA,29,NA,NA,NA,NA,16,60
Roar,Six Flags Discovery Kingdom,Great Coasters International,Wood,Twister,1999,3.5,95,NA,NA,50,NA,Great Coasters,85,NA,24,NA
Roar,Six Flags America,Great Coasters International,Wood,Twister,1998,3.5,92,NA,NA,50,NA,Philadelphia Toboggan Co.,85,NA,24,60
Roar-O-Saurus,Story Land,"The Gravity Group, LLC",Wood,"Double Out and Back, Family",2014,NA,40,NA,NA,33,52,"The Gravity Group, LLC",38.5,NA,12,NA
Robin Hood,Walibi Holland,Vekoma,Wood,Out and Back,2e3,NA,105,NA,NA,50,NA,NA,NA,NA,24,120
Rock 'N Roll Duncan,Fuji-Q Highland,"Sansei Yusoki Co., Ltd.",Steel,Junior,1999,NA,7,NA,NA,NA,NA,NA,NA,NA,12,60
Rock 'n' Roller Coaster,Walt Disney Studios Park,Vekoma,Steel,"Launched Multielement, Indoor",2002,5,80,3,NA,57,NA,NA,NA,LSM,24,60
Rock 'n' Roller Coaster,Disney's Hollywood Studios,"Walt Disney Imagineering, Vekoma",Steel,"Launched Multielement, Indoor",1999,5,80,3,NA,57,NA,"Vekoma, Walt Disney Imagineering",NA,LSM,24,60
Rockin Roller,Botton's Pleasure Beach,Fabbri,Steel,Spinning Wild Mouse,2006,2.8,33,NA,NA,NA,NA,NA,NA,NA,4,NA
Rockin' Rider Galaxy,Canobie Lake Park,SDC,Steel,Galaxi,1970,NA,45,NA,NA,35,NA,NA,32,NA,4,NA
Rockin' Roller,Six Flags St. Louis,Bradley and Kaye,Steel,"Junior, Oval",1975,NA,10,NA,200,9,NA,NA,5,NA,12,NA
Rockin' Roller Coaster,Atlantic Playland,Schiff,Steel,Junior Oval,1995,NA,15,NA,NA,NA,NA,NA,8,NA,10,NA
Rockstar Coaster,Fun Spot America Kissimmee,Zamperla,Steel,Spinning Wild Mouse,2011,2.5,43,NA,NA,29,NA,NA,NA,NA,NA,60
Roller Coaster,Fun Town at Micke Grove,Carl Miler,Steel,Junior Oval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
Roller Coaster,Blue Mountain Go Karts,Allan Herschell,Steel,Junior Oval,2012,NA,10,NA,NA,NA,NA,NA,NA,NA,12,NA
Roller Coaster,Blackbeard's Family Fun Center,Carl Miler,Steel,Junior Oval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
Roller Coaster,Boomers! Medford,Zamperla,Steel,"Junior, Oval",1999,NA,15,NA,280,9,NA,NA,12,NA,12,NA
Roller Coaster,Rotary Storyland & Playland,Molina & Sons,Steel,Junior Oval,2002,NA,7,NA,NA,NA,NA,NA,4,NA,10,NA
Roller Coaster,Hoffman's Playland,Allan Herschell,Steel,"Junior, Oval",1961,NA,NA,NA,NA,NA,NA,Herschell,NA,NA,12,NA
Roller Coaster,Enchanted Forest of Rhode Island,"Miler Coaster, Inc.",Steel,"Junior, Oval",NA,NA,7,NA,185,NA,NA,"Miler Coaster, Inc.",NA,NA,10,NA
Roller Coaster,Boondocks,,Steel,Junior Oval,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
Roller Coaster,Lagoon,John A. Miller,Wood,Double Out and Back,1921,NA,62,NA,NA,45,NA,Philadelphia Toboggan Co.,55,NA,24,60
Roller Coaster,City Park,Molina & Sons,Steel,Junior Oval,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,10,NA
Roller Coaster,Chippewa Park,Spillman Engineering,Steel,"Junior, Out and Back",1967,NA,21,NA,750,15,NA,NA,18,NA,16,NA
Roller Coaster,Funland Amusement Park,Herschell,Steel,Junior Oval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA
Roller Coaster,Playland Park,"Miler Coaster, Inc.",Steel,Junior Oval,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,6,NA
Roller Coaster,PowerPlay,"Miler Coaster, Inc.",Steel,"Junior Oval, Indoor",2014,NA,11.5,NA,300,10,NA,"Miler Coaster, Inc.",10,NA,10,NA
Roller Coaster,Kiddieland Lincoln Park,Schiff,Steel,Junior Oval,1961,NA,8,NA,NA,NA,NA,NA,3,NA,10,NA
